Original Comment,Original Sentiment,P/E Sentiment,P/E Explanation (Persian)
بسته بندی تمیز کیفیت محصولات هم بسیار خوب. لطفا در صورت امکان منو میوه تنوع بیشتری داشته باشد امروز چون موز تو منو نبود از سوپر میوه‌های دیگه اسنپ فود خرید کردم اصلا کیفیت مناسبی نداشت و واقعا تعهد و کیفیت سبزی من بسیار عالی و غیر قابل مقایسه است,positive,[positive],"- در ابتدا، مشتری از بسته بندی تمیز و کیفیت خوب محصولات خبر می‌دهد که نشان دهنده رضایت از محصول است.
- سپس، مشتری از عدم وجود موز در منو میوه انتقاد کرده و به جای آن از سوپر میوه‌های دیگه اسنپ فود خرید کرده است. اما این انتقاد به صورت کلی به کیفیت اسنپ فود مربوط می‌شود و نه به کیفیت سبزی.
- در انتها، مشتری از کیفیت سبزی بسیار عالی و غیر قابل مقایسه خبر می‌دهد که نشان دهنده رضایت از محصول است.
- بنابراین، دلیل اصلی پیش بینی مثبت این است که مشتری از کیفیت سبزی بسیار رضایت داشته و از بسته بندی تمیز و کیفیت خوب محصولات خبر می‌دهد."
سلام. خسته نباشید. واقعا خوشمزه و عالی بود. پیتزا مخلوط و هات داگ بسیار خوشمزه بود. ممنون از شیلا,positive,[positive],"[در این نقد، کلمه‌های ""خوشمزه"" و ""عالی"" به‌عنوان توصیفاتی مثبت برای غذاها استفاده شده‌اند. همچنین، نویسنده از شیلا تشکر می‌کند که نشان‌دهنده رضایت از خدمات ارائه شده است.]"
سیب زمینی با پنیر سفارش داده بودم و سیب زمینی ساده ب من تحویل دادند! حداقل کار ممکن اینه که تفاوت قیمتش رو ب حسابم برگردونید,negative,error,error
سلام واقعنی پیتزا سیب مثل قبل اصلن خوب نبود.. کیفیتش از دست داده حجم سیب زمینی ویژه با معمولی هیچ فرقی نداره.. فقط پنیر داره.. و درکل کلی پول پیک و مالیات زیاد میگیره,negative,[negative],کلید دلیل این پیش بینی این است که این شخص از کیفیت پیتزا سیب زمینی ناراضی است و کیفیت آن را از دست داده است. او همچنین از حجم سیب زمینی معمولی و زیاد بودن مالیات و پیک ناراضی است. این مطالب نشان می دهد که این شخص از تجربه خرید پیتزا سیب زمینی خوشحال نیست و این باعث می شود که من پیش بینی کنم که این شخص از این تجربه منفی است.
خیلی سریع و داغ و لذیذ رسید,positive,[positive],"در این بررسی، کلمه‌های ""سریع""، ""داغ"" و ""لذیذ"" استفاده شده‌اند که همه آنها به طور مثبت به محصول اشاره دارند."
خرمالوها له و داغون به دستم رسید,negative,negative,"دلیل اصلی پیش‌بینی منفی این است که کلمه ""داغون"" به معنای ""سوزان"" است و در این متن به عنوان یک کلمه منفی استفاده شده است."
بی نظیر عالی بود,positive,[positive],"این جمله به دلیل استفاده از کلمه ""عالی"" که معادل فارسی کلمه ""امتیازی"" است، نشان دهنده احساس رضایت و خوشحالی از محصول یا خدمت است."
عالی بود ممنونم فقط کاش سبزیجاتم موجود داشتید,positive,[positive],[در این مورد، کاربر از محصول یا خدمات ارائه شده قدردانی کرده است و فقط یک انتقاد جزئی را بیان کرده است. این انتقاد به وجود نبود سبزیجات اشاره دارد که نشان می‌دهد کاربر از محصول یا خدمات در مجموع خوشحال بوده است.]
دونات‌ها یخ کرده بود، من همیشه داغ داغ تحویل میگرفتم.۴۰ دقیقه تاخیر داشتند.,positive,[negative],"دلیل اصلی پیش بینی منفی این است که در این بررسی، از دو نکته منفی یاد شده است: ""دونات‌ها یخ کرده بود"" و ""۴۰ دقیقه تاخیر داشتند"". این دو نکته نشان می‌دهد که کیفیت خدمات و زمان تحویل به طور کلی نامناسب بوده است."
غذا سرد بود کیفیت نداشت بنده ساعت ۱۱:۵۵ سفارش دادم ساعت ۱۱:۵۶ غذا تحویل پیک شد درنتیجه کاملا مشخصه غذا تازه نبوده است!!!!!! سس هم نداشت.,negative,[negative],دلیل اصلی پیش‌بینی منفی این است که در این متن، کاربر از کیفیت غذا و تازه بودن آن انتقاد کرده است و همچنین از عدم وجود سس در غذا شکایت دارد. این موارد نشان‌دهنده نارضایتی کاربر از سرویس غذایی است.
