index,question,options,gold,explanation,pred_noexp,prob_noexp,pred_exp,prob_exp,is_correct_noexp,is_correct_exp,sufficiency,usefulness,probs_noexp,probs_exp
0,جرج می‌خواهد دست‌هایش را با مالیدن به سرعت گرم کند. کدام سطح پوست بیشترین گرما را تولید می‌کند؟,"['کف\u200cهای خشک', 'کف\u200cهای مرطوب', 'کف\u200cهای چرب شده با روغن', 'کف\u200cهای پوشیده شده با لوسیون']",A,دست‌های خشک بهترین گرما را تولید می‌کنند زیرا اصطکاک بیشتری بین پوست و همدیگر ایجاد می‌شود. در مقابل، سطوح مرطوب یا چرب اصطکاک را کاهش داده و گرمای کمتری تولید می‌کنند.,C,0.8796225190162659,A,0.9934699535369873,False,True,True,True,[0.081658   0.03404012 0.8796225  0.00467938],[9.9346995e-01 2.1647341e-03 3.5690432e-03 7.9636119e-04]
1,کدام یک از جملات زیر بهترین توضیح را برای این موضوع ارائه می‌دهد که چرا مغناطیس‌ها معمولاً به درب یخچال می‌چسبند؟,"['در یخچال سطحی صاف وجود دارد.', 'درب یخچال حاوی آهن است.', 'درب یخچال یک هادی خوب است.', 'درب یخچال دارای سیم\u200cهای برق است.']",B,درهای یخچال معمولاً از فلزاتی حاوی آهن ساخته می‌شوند. آهن خاصیت مغناطیسی دارد و به همین دلیل مگنت‌ها به در یخچال می‌چسبند. سایر گزینه‌ها به چسبندگی مگنت‌ها ارتباطی ندارند.,B,0.9000676274299622,B,0.9369107484817505,True,True,True,True,[0.05058037 0.9000676  0.03939204 0.00995987],[0.02516365 0.93691075 0.03231077 0.00561477]
2,سوالی: چین‌خوردگی مشاهده‌شده در لایه‌های سنگ‌های رسوبی بیشتر احتمالاً ناشی از,"['سرد شدن ماگما در حال جریان.', 'مقارن شدن صفحات قشری.', 'رسوب\u200cگذاری مواد رسوبی در کنار رودخانه.', 'حل شدن معدنی کربنات.']",B,چین‌خوردگی در لایه‌های سنگ‌های رسوبی عمدتاً به دلیل فشار و تنش‌های ناشی از همگرایی صفحات قشری است. این فرآیند تکتونیکی باعث تغییر شکل و چین‌خوردگی لایه‌های رسوبی می‌شود.,B,0.5060479044914246,B,0.9849464893341064,True,True,True,True,[0.4465857  0.5060479  0.0369455  0.01042096],[1.4049507e-02 9.8494649e-01 8.7052159e-04 1.3349882e-04]
3,کدام یک از این موارد را دانشمندان به عنوان جدیدترین توضیح درباره اینکه چرا بسیاری از گیاهان و جانوران در پایان دوره مزوزوئیک منقرض شدند، ارائه می‌دهند؟,"['بیماری جهانی', 'تشکیل کوه\u200cهای جهانی', 'ظهور پستانداران که به گیاهان و جانوران حمله می\u200cکردند', 'ضربه یک سیارک که گرد و غبار ایجاد کرد و نور خورشید را مسدود کرد']",D,دانشمندان معتقدند که برخورد یک سیارک به زمین در پایان دوره مزوزوئیک، گرد و غباری ایجاد کرد که نور خورشید را مسدود کرد. این امر باعث تغییرات شدید اقلیمی و کاهش دما شد و در نهایت منجر به انقراض بسیاری از گیاهان و جانوران گردید.,A,0.6778459548950195,D,0.9761430025100708,False,True,True,True,[0.67784595 0.1168753  0.15007086 0.05520798],[2.3091592e-02 6.5505796e-04 1.1032976e-04 9.7614300e-01]
4,یک قایق تحت تأثیر جریان یک رودخانه که به سمت شمال می‌رود و بادی که بر روی بادبان‌های آن می‌وزد، قرار دارد. قایق به سمت شمال‌شرقی حرکت می‌کند. در کدام جهت باد به احتمال زیاد بر روی بادبان‌های قایق نیرو وارد می‌کند؟,"['غرب', 'شرق', 'شمال', 'جنوب']",B,با توجه به حرکت قایق به سمت شمال شرق و جریان رودخانه به سمت شمال، باد باید از سمت شرق به قایق فشار آورد تا قایق به این سمت هدایت شود.,B,0.5282155871391296,B,0.9103788733482361,True,True,True,True,[0.24853863 0.5282156  0.02968371 0.19356208],[0.05797168 0.9103789  0.00426559 0.02738388]
5,کدام شکل زمین نتیجه نیروی سازنده یک یخچال طبیعی است؟,"['دره\u200cهای حفر شده توسط یک یخچال طبیعی متحرک', 'توده\u200cهای سنگی جمع\u200cشده توسط یک یخچال طبیعی آب شده', 'خطوط ایجاد شده در سطح گرانیت توسط یک یخچال طبیعی', 'تپه\u200cهای سنگ بستر خراشیده شده توسط عبور یک یخچال طبیعی']",B,یخچال‌های طبیعی با حرکت خود دره‌های عمیق و باریکی به نام دره‌های یخچالی ایجاد می‌کنند. این دره‌ها نتیجه نیروی سازنده یخچال هستند که زمین را شکل می‌دهند.,A,0.5269642472267151,A,0.9272450804710388,False,False,False,False,[0.52696425 0.15097779 0.15097779 0.17108025],[0.9272451  0.02810997 0.04089976 0.00374529]
6,کدام جمله بهترین مقایسه را بین موجودات تک‌سلولی و چندسلولی ارائه می‌دهد؟,"['بافت\u200cها در یک موجود تک\u200cسلولی مانند سلول\u200cها در یک موجود چندسلولی هستند.', 'هسته در یک موجود تک\u200cسلولی مانند پوست یک موجود چندسلولی است.', 'اندامک\u200cها در یک موجود تک\u200cسلولی مانند اعضا در یک موجود چندسلولی هستند.', 'سیتوپلاسم در یک موجود تک\u200cسلولی مانند سیستم عصبی در یک موجود چندسلولی است.']",C,در موجودات تک‌سلولی، اندامک‌ها وظایف مختلفی را انجام می‌دهند که مشابه با عملکرد اعضا در موجودات چندسلولی است. هر اندامک در یک موجود یک‌سلولی نقش خاصی دارد، همان‌طور که هر عضو در یک موجود چندسلولی وظیفه‌ای مشخص دارد. بنابراین، این مقایسه به خوبی شباهت‌های ساختاری و عملکردی بین این دو نوع موجودات را نشان می‌دهد.,A,0.786097526550293,C,0.9737750887870789,False,True,True,True,[0.7860975  0.023831   0.15539762 0.0346739 ],[2.5647897e-02 4.1455968e-04 9.7377509e-01 1.6234390e-04]
7,در چارچوب یک آزمایش، یک فضانورد یک ترازو به ماه می‌برد و خود را وزن می‌کند. ترازو ۳۱ پوند را نشان می‌دهد. اگر جرم فضانورد حدود ۸۴ کیلوگرم باشد، وزن و جرم تقریبی فضانورد هنگام ایستادن بر روی زمین کدامند؟,"['۳۱ پوند و ۱۴ کیلوگرم', '۳۱ پوند و ۸۴ کیلوگرم', '۱۸۶ پوند و ۱۴ کیلوگرم', '۱۸۶ پوند و ۸۴ کیلوگرم']",D,وزن یک جسم به نیروی گرانشی وابسته است و در زمین برابر با جرم (کیلوگرم) ضربدر شتاب گرانش (تقریباً 9.8 متر بر ثانیه مربع) محاسبه می‌شود. جرم فضانورد 84 کیلوگرم است، بنابراین وزن او در زمین حدود 186 پوند خواهد بود. بنابراین، گزینه صحیح وزن 186 پوند و جرم 84 کیلوگرم است.,D,0.5123115181922913,D,0.9810200333595276,True,True,True,True,[0.1663232  0.01063269 0.31073263 0.5123115 ],[1.5733315e-02 8.3383510e-04 2.4127818e-03 9.8102003e-01]
8,کدام یک از موارد زیر ویژگی‌ای است که سگ از والدین خود به ارث نمی‌برد؟,"['طول موهایش', 'شکل بینی\u200cاش', 'اندازه اشتهایش', 'رنگ موهایش']",C,حجم اشتها ویژگی‌ای است که تحت تأثیر عوامل محیطی و رفتاری قرار دارد و به طور مستقیم از والدین به فرزندان منتقل نمی‌شود. در مقابل، طول مو، شکل بینی و رنگ مو ویژگی‌های ژنتیکی هستند.,B,0.40217435359954834,C,0.9853034019470215,False,True,True,True,[0.3132137  0.40217435 0.06934355 0.21526843],[1.2330676e-02 8.9323125e-04 9.8530340e-01 1.4726893e-03]
9,پیمایشی که لاک‌پشت‌های دریایی در ابتدای زندگی خود معمولاً تیره رنگ هستند. گاهی اوقات، لاک‌پشتی بیرون می‌آید که تقریباً سفید رنگ است. هنگامی که این لاک‌پشت رنگ روشن از لانه به سمت اقیانوس خزیده می‌شود، ممکن است در معرض آفتاب سوختگی قرار گیرد. رنگ روشن این لاک‌پشت‌ها چه تأثیری خواهد داشت؟,"['الف) به لاک\u200cپشت\u200cها کمک می\u200cکند که شانس بیشتری برای زادآوری داشته باشند.', 'ب) باعث قوی\u200cتر شدن پوسته لاک\u200cپشت\u200cهای دریایی می\u200cشود.', 'ج) احتمال زنده ماندن لاک\u200cپشت\u200cها برای زادآوری را کاهش می\u200cدهد.', 'د) در توسعه یک گونه جدید از لاک\u200cپشت\u200cهای دریایی کمک می\u200cکند.']",C,رنگ روشن لاک‌پشت‌های دریایی آن‌ها را در معرض آفتاب‌سوختگی قرار می‌دهد و این امر می‌تواند شانس زنده ماندن آن‌ها در مراحل اولیه زندگی را کاهش دهد. از آنجا که بقا در این مراحل برای تولید مثل حیاتی است، رنگ روشن می‌تواند به کاهش شانس بقای آن‌ها برای زادآوری منجر شود.,C,0.5924316048622131,C,0.9280797839164734,True,True,True,True,[0.27984488 0.09014531 0.5924316  0.03757815],[0.06670669 0.00189232 0.9280798  0.00332113]
