row_id,question_id,actual_answer,prediction,is_correct,split,question_fa,choice_A_fa,choice_B_fa,choice_C_fa,choice_D_fa,original_tokens,trim_percent,target_token_limit,original_explanation,rewritten_explanation
0,Mercury_SC_415702,A,A,1,train,جرج می‌خواهد دست‌هایش را با مالیدن به سرعت گرم کند. کدام سطح پوست بیشترین گرما را تولید می‌کند؟,کف‌های خشک,کف‌های مرطوب,کف‌های چرب شده با روغن,کف‌های پوشیده شده با لوسیون,63,100,63,دست‌های خشک بهترین سطح برای تولید گرما هستند زیرا اصطکاک بین پوست و همدیگر بیشتر است و این باعث افزایش حرارت می‌شود. در حالی که سطوح مرطوب یا چرب ممکن است اصطکاک را کاهش دهند و در نتیجه گرمای کمتری تولید کنند.,دست‌های خشک بهترین گرما را تولید می‌کنند زیرا اصطکاک بیشتری بین پوست و همدیگر ایجاد می‌شود. در مقابل، سطوح مرطوب یا چرب اصطکاک را کاهش داده و گرمای کمتری تولید می‌کنند.
1,MCAS_2009_5_6516,B,B,1,train,کدام یک از جملات زیر بهترین توضیح را برای این موضوع ارائه می‌دهد که چرا مغناطیس‌ها معمولاً به درب یخچال می‌چسبند؟,در یخچال سطحی صاف وجود دارد.,درب یخچال حاوی آهن است.,درب یخچال یک هادی خوب است.,درب یخچال دارای سیم‌های برق است.,77,100,77,درهای یخچال معمولاً از فلزاتی ساخته می‌شوند که حاوی آهن هستند. آهن خاصیت مغناطیسی دارد و به همین دلیل، آهن موجود در در یخچال باعث می‌شود که مگنت‌ها به آن بچسبند. سایر گزینه‌ها به طور مستقیم به خاصیت چسبندگی مگنت‌ها مربوط نمی‌شوند.,درهای یخچال معمولاً از فلزاتی حاوی آهن ساخته می‌شوند. آهن خاصیت مغناطیسی دارد و به همین دلیل مگنت‌ها به در یخچال می‌چسبند. سایر گزینه‌ها به چسبندگی مگنت‌ها ارتباطی ندارند.
2,Mercury_7233695,B,B,1,train,سوالی: چین‌خوردگی مشاهده‌شده در لایه‌های سنگ‌های رسوبی بیشتر احتمالاً ناشی از,سرد شدن ماگما در حال جریان.,مقارن شدن صفحات قشری.,رسوب‌گذاری مواد رسوبی در کنار رودخانه.,حل شدن معدنی کربنات.,74,100,74,چین‌خوردگی در لایه‌های سنگ‌های رسوبی معمولاً ناشی از فشار و تنش‌های ناشی از همگرایی صفحات قشری است. این فرآیند می‌تواند منجر به تغییر شکل و چین‌خوردگی لایه‌های رسوبی شود که در نتیجه فعالیت‌های تکتونیکی ایجاد می‌شود.,چین‌خوردگی در لایه‌های سنگ‌های رسوبی عمدتاً به دلیل فشار و تنش‌های ناشی از همگرایی صفحات قشری است. این فرآیند تکتونیکی باعث تغییر شکل و چین‌خوردگی لایه‌های رسوبی می‌شود.
3,Mercury_7041615,D,D,1,train,کدام یک از این موارد را دانشمندان به عنوان جدیدترین توضیح درباره اینکه چرا بسیاری از گیاهان و جانوران در پایان دوره مزوزوئیک منقرض شدند، ارائه می‌دهند؟,بیماری جهانی,تشکیل کوه‌های جهانی,ظهور پستانداران که به گیاهان و جانوران حمله می‌کردند,ضربه یک سیارک که گرد و غبار ایجاد کرد و نور خورشید را مسدود کرد,82,100,82,دانشمندان بر این باورند که برخورد یک سیارک به زمین در پایان دوره مزوزوئیک باعث ایجاد گرد و غبار در جو شد که نور خورشید را مسدود کرد. این پدیده منجر به تغییرات شدید اقلیمی و کاهش دما گردید که در نهایت به انقراض بسیاری از گیاهان و جانوران انجامید.,دانشمندان معتقدند که برخورد یک سیارک به زمین در پایان دوره مزوزوئیک، گرد و غباری ایجاد کرد که نور خورشید را مسدود کرد. این امر باعث تغییرات شدید اقلیمی و کاهش دما شد و در نهایت منجر به انقراض بسیاری از گیاهان و جانوران گردید.
4,Mercury_7041860,B,B,1,train,یک قایق تحت تأثیر جریان یک رودخانه که به سمت شمال می‌رود و بادی که بر روی بادبان‌های آن می‌وزد، قرار دارد. قایق به سمت شمال‌شرقی حرکت می‌کند. در کدام جهت باد به احتمال زیاد بر روی بادبان‌های قایق نیرو وارد می‌کند؟,غرب,شرق,شمال,جنوب,71,100,71,با توجه به اینکه قایق به سمت شمال شرق حرکت می‌کند و جریان رودخانه به سمت شمال است، نیروی باد باید به گونه‌ای باشد که قایق را به سمت شمال شرق هدایت کند. بنابراین، باد باید از سمت شرق به قایق فشار بیاورد تا قایق بتواند به سمت شمال شرق حرکت کند.,با توجه به حرکت قایق به سمت شمال شرق و جریان رودخانه به سمت شمال، باد باید از سمت شرق به قایق فشار آورد تا قایق به این سمت هدایت شود.
5,Mercury_SC_401653,B,A,0,train,کدام شکل زمین نتیجه نیروی سازنده یک یخچال طبیعی است؟,دره‌های حفر شده توسط یک یخچال طبیعی متحرک,توده‌های سنگی جمع‌شده توسط یک یخچال طبیعی آب شده,خطوط ایجاد شده در سطح گرانیت توسط یک یخچال طبیعی,تپه‌های سنگ بستر خراشیده شده توسط عبور یک یخچال طبیعی,78,100,78,یخچال‌های طبیعی با حرکت خود، دره‌هایی را ایجاد می‌کنند که به نام دره‌های یخچالی شناخته می‌شوند. این دره‌ها نتیجه‌ی نیروی سازنده‌ی یخچال هستند که با حرکت خود زمین را شکل می‌دهند و به صورت عمیق و باریک دره‌هایی را در سطح زمین ایجاد می‌کنند.,یخچال‌های طبیعی با حرکت خود دره‌های عمیق و باریکی به نام دره‌های یخچالی ایجاد می‌کنند. این دره‌ها نتیجه نیروی سازنده یخچال هستند که زمین را شکل می‌دهند.
6,MEA_2016_8_14,C,C,1,train,کدام جمله بهترین مقایسه را بین موجودات تک‌سلولی و چندسلولی ارائه می‌دهد؟,بافت‌ها در یک موجود تک‌سلولی مانند سلول‌ها در یک موجود چندسلولی هستند.,هسته در یک موجود تک‌سلولی مانند پوست یک موجود چندسلولی است.,اندامک‌ها در یک موجود تک‌سلولی مانند اعضا در یک موجود چندسلولی هستند.,سیتوپلاسم در یک موجود تک‌سلولی مانند سیستم عصبی در یک موجود چندسلولی است.,110,100,110,در موجودات یک‌سلولی، اندامک‌ها وظایف مختلفی را انجام می‌دهند که مشابه با عملکرد اندام‌ها در موجودات چندسلولی است. هر اندامک در یک موجود یک‌سلولی به نوعی نقش خاصی را ایفا می‌کند، همان‌طور که هر اندام در یک موجود چندسلولی وظیفه خاص خود را دارد. بنابراین، این مقایسه به درستی نشان‌دهنده شباهت‌های ساختاری و عملکردی بین این دو نوع موجودات است.,در موجودات تک‌سلولی، اندامک‌ها وظایف مختلفی را انجام می‌دهند که مشابه با عملکرد اعضا در موجودات چندسلولی است. هر اندامک در یک موجود یک‌سلولی نقش خاصی دارد، همان‌طور که هر عضو در یک موجود چندسلولی وظیفه‌ای مشخص دارد. بنابراین، این مقایسه به خوبی شباهت‌های ساختاری و عملکردی بین این دو نوع موجودات را نشان می‌دهد.
7,ACTAAP_2013_5_11,D,D,1,train,در چارچوب یک آزمایش، یک فضانورد یک ترازو به ماه می‌برد و خود را وزن می‌کند. ترازو ۳۱ پوند را نشان می‌دهد. اگر جرم فضانورد حدود ۸۴ کیلوگرم باشد، وزن و جرم تقریبی فضانورد هنگام ایستادن بر روی زمین کدامند؟,۳۱ پوند و ۱۴ کیلوگرم,۳۱ پوند و ۸۴ کیلوگرم,۱۸۶ پوند و ۱۴ کیلوگرم,۱۸۶ پوند و ۸۴ کیلوگرم,133,100,133,وزن یک جسم به نیروی گرانشی وابسته است و در زمین به طور تقریبی برابر با جرم آن (به کیلوگرم) ضربدر شتاب گرانش (تقریباً 9.8 متر بر ثانیه مربع) است. با توجه به اینکه جرم فضانورد 84 کیلوگرم است، وزن او در زمین تقریباً 84 کیلوگرم × 9.8 متر بر ثانیه مربع = 823.2 نیوتن است که معادل حدود 186 پوند می‌شود. بنابراین، گزینه صحیح وزن 186 پوند و جرم 84 کیلوگرم است.,وزن یک جسم به نیروی گرانشی وابسته است و در زمین برابر با جرم (کیلوگرم) ضربدر شتاب گرانش (تقریباً 9.8 متر بر ثانیه مربع) محاسبه می‌شود. جرم فضانورد 84 کیلوگرم است، بنابراین وزن او در زمین حدود 186 پوند خواهد بود. بنابراین، گزینه صحیح وزن 186 پوند و جرم 84 کیلوگرم است.
8,MCAS_1998_4_3,C,C,1,train,کدام یک از موارد زیر ویژگی‌ای است که سگ از والدین خود به ارث نمی‌برد؟,طول موهایش,شکل بینی‌اش,اندازه اشتهایش,رنگ موهایش,80,100,80,حجم اشتها یک ویژگی است که تحت تأثیر عوامل محیطی و رفتاری قرار دارد و به طور مستقیم از والدین به فرزندان منتقل نمی‌شود. در حالی که طول مو، شکل بینی و رنگ مو ویژگی‌هایی هستند که به طور ژنتیکی از والدین به فرزندان منتقل می‌شوند، اشتها بیشتر به شرایط زندگی و تغذیه وابسته است.,حجم اشتها ویژگی‌ای است که تحت تأثیر عوامل محیطی و رفتاری قرار دارد و به طور مستقیم از والدین به فرزندان منتقل نمی‌شود. در مقابل، طول مو، شکل بینی و رنگ مو ویژگی‌های ژنتیکی هستند.
9,Mercury_7106908,C,C,1,train,پیمایشی که لاک‌پشت‌های دریایی در ابتدای زندگی خود معمولاً تیره رنگ هستند. گاهی اوقات، لاک‌پشتی بیرون می‌آید که تقریباً سفید رنگ است. هنگامی که این لاک‌پشت رنگ روشن از لانه به سمت اقیانوس خزیده می‌شود، ممکن است در معرض آفتاب سوختگی قرار گیرد. رنگ روشن این لاک‌پشت‌ها چه تأثیری خواهد داشت؟,الف) به لاک‌پشت‌ها کمک می‌کند که شانس بیشتری برای زادآوری داشته باشند.,ب) باعث قوی‌تر شدن پوسته لاک‌پشت‌های دریایی می‌شود.,ج) احتمال زنده ماندن لاک‌پشت‌ها برای زادآوری را کاهش می‌دهد.,د) در توسعه یک گونه جدید از لاک‌پشت‌های دریایی کمک می‌کند.,96,100,96,تولید مثل لاک‌پشت‌های دریایی به شدت به بقا و زنده ماندن آن‌ها در مراحل اولیه زندگی وابسته است. رنگ روشن این لاک‌پشت‌ها می‌تواند آن‌ها را در معرض خطر آفتاب‌سوختگی قرار دهد و در نتیجه شانس زنده ماندن آن‌ها را کاهش دهد. بنابراین، این ویژگی می‌تواند به کاهش شانس بقای آن‌ها برای تولید مثل منجر شود.,رنگ روشن لاک‌پشت‌های دریایی آن‌ها را در معرض آفتاب‌سوختگی قرار می‌دهد و این امر می‌تواند شانس زنده ماندن آن‌ها در مراحل اولیه زندگی را کاهش دهد. از آنجا که بقا در این مراحل برای تولید مثل حیاتی است، رنگ روشن می‌تواند به کاهش شانس بقای آن‌ها برای زادآوری منجر شود.
