,Original Comment,Original Sentiment,P/E Sentiment,P/E Explanation (Persian),E/P Sentiment,E/P Explanation (Persian)
0,بسته بندی تمیز کیفیت محصولات هم بسیار خوب. لطفا در صورت امکان منو میوه تنوع بیشتری داشته باشد امروز چون موز تو منو نبود از سوپر میوه‌های دیگه اسنپ فود خرید کردم اصلا کیفیت مناسبی نداشت و واقعا تعهد و کیفیت سبزی من بسیار عالی و غیر قابل مقایسه است,positive,positive,این بررسی به نظر مثبت است، زیرا مشتری از بسته‌بندی و کیفیت محصولات ابراز رضایت کرده است. آنها از تنوع منو میوه راضی نیستند، اما این موضوع را به عنوان یک درخواست مطرح می‌کنند و همچنان از کیفیت کلی ارائه شده قدردانی می‌کنند.,مثبت,مشتری از پاکیزگی بسته‌بندی و کیفیت بالای محصولات ابراز رضایت کرده است، اما تمایل دارد که منوی میوه‌ها تنوع بیشتری داشته باشد، زیرا مجبور شد موز را از جای دیگری تهیه کند که کیفیت مناسبی نداشت.
1,سلام. خسته نباشید. واقعا خوشمزه و عالی بود. پیتزا مخلوط و هات داگ بسیار خوشمزه بود. ممنون از شیلا,positive,positive,"این بررسی حاوی نظرات مثبت است، زیرا مشتری از طعم پیتزا و هات داگ ابراز رضایت کرده است. کلماتی مانند ""خوشمزه"" و ""عالی"" نشان دهنده تجربه مثبت مشتری است.",positive,مشتری از طعم پیتزا و هات داگ راضی بود و آن را لذیذ توصیف کرد.
2,سیب زمینی با پنیر سفارش داده بودم و سیب زمینی ساده ب من تحویل دادند! حداقل کار ممکن اینه که تفاوت قیمتش رو ب حسابم برگردونید,negative,negative,این بررسی حاکی از تجربه منفی مشتری است. مشتری از سفارش خود ناراضی است زیرا غذای تحویلی با آنچه سفارش داده شده بود، مطابقت نداشت.,منفی,مشتری از این که سفارش او به درستی آماده نشده بود ناراضی است و خواستار جبران مالی است.
3,سلام واقعنی پیتزا سیب مثل قبل اصلن خوب نبود.. کیفیتش از دست داده حجم سیب زمینی ویژه با معمولی هیچ فرقی نداره.. فقط پنیر داره.. و درکل کلی پول پیک و مالیات زیاد میگیره,negative,negative,این بررسی نشان دهنده نارضایتی مشتری از کیفیت پیتزا و همچنین نسبت قیمت به ارزش است. آنها معتقدند که پیتزا سیب به اندازه قبل خوب نیست و نسبت به قیمت، مقدار مواد تشکیل دهنده آن رضایت بخش نیست.,negative,مصرف‌کننده از کیفیت پیتزا و حجم سیب‌زمینی در پیتزا سیب گله دارد. او معتقد است که کیفیت پیتزا افت کرده و تفاوتی بین پیتزای ویژه و معمولی وجود ندارد. همچنین، هزینه پیک و مالیات را زیاد می‌داند.
4,خیلی سریع و داغ و لذیذ رسید,positive,positive,"این بررسی به نظر مثبت است، زیرا از کلمات ""سریع""، ""داغ"" و ""لذیذ"" استفاده می‌کند که نشان‌دهنده رضایت مشتری از سرعت و کیفیت محصول یا خدمات است.",positive,مشتری از سرعت تحویل و کیفیت غذا راضی است و آن را لذیذ توصیف می‌کند.
5,خرمالوها له و داغون به دستم رسید,negative,negative,این بررسی به نظر می‌رسد که تجربه‌ای منفی را بیان می‌کند، زیرا دریافت خرمالوهایی داغ و نامناسب را توصیف می‌کند.,negative,مشتری از این ناراضی است که خرمالوها هنگام تحویل داغ بودند و به نظر می‌رسد تازه نبوده‌اند.
6,بی نظیر عالی بود,positive,positive,"این بررسی به وضوح حاکی از یک تجربه مثبت است، زیرا از عبارت ""بی نظیر"" و ""عالی"" استفاده می‌کند که نشان‌دهنده رضایت و تحسین است.",positive,"این بررسی کننده از تجربه خود در یک رستوران یا رویداد لذت برده است و آن را ""بی نظیر"" می داند."
7,عالی بود ممنونم فقط کاش سبزیجاتم موجود داشتید,positive,positive,"این بررسی به نظر مثبت است، زیرا مشتری از تجربه خود ابراز رضایت کرده است، حتی اگر برخی از اقلام موجود نبوده اند. کلمات ""عالی"" و ""ممنونم"" نشان دهنده رضایت مشتری است.",مثبت,مشتری از کیفیت محصول راضی است، اما از عدم در دسترس بودن سبزیجات تازه ناراضی است.
8,دونات‌ها یخ کرده بود، من همیشه داغ داغ تحویل میگرفتم.۴۰ دقیقه تاخیر داشتند.,positive,negative,این بررسی نشان دهنده نارضایتی مشتری است، زیرا دونات ها یخ زده بودند و تحویل با تاخیر بود، که تجربه ای منفی را نشان می دهد.,منفی,مشتری از اینکه دونات‌ها یخ زده بودند و با تاخیر تحویل داده شدند، ناراضی است.
9,غذا سرد بود کیفیت نداشت بنده ساعت ۱۱:۵۵ سفارش دادم ساعت ۱۱:۵۶ غذا تحویل پیک شد درنتیجه کاملا مشخصه غذا تازه نبوده است!!!!!! سس هم نداشت.,negative,negative,این بررسی نشان دهنده یک تجربه منفی است، زیرا مشتری از کیفیت غذا ناراضی است، معتقد است که غذا تازه نبوده و همچنین سس نداشت.,منفی,مشتری از کیفیت غذای تحویلی ناراضی است، زیرا آن را سرد و بدون سس دریافت کرد و معتقد است که غذا تازه نبوده است.
