Original Review,Original Sentiment,Top 3 Significant Words/Phrases,Redacted Review,Redacted Sentiment
آش دوغ ترش نبود و آش شله قلمکار اصلا کیفیت مناسبی نداشت. پر از آرد و حبوبات نپخته خیلی بد مزه بود و خیلی شیرین بود,negative,"آرد و حبوبات نپخته,  ترش نبود,  خیلی شیرین",آش دوغ[REDACTED] و آش شله قلمکار اصلا کیفیت مناسبی نداشت. پر از [REDACTED] خیلی بد مزه بود و[REDACTED] بود,negative
مثل همیشه خوب و باکیفیت. هر وقت هم که داخل قسمت توضیحات چیزی خواستیم انجام دادن، در حالی که خیلی جاها اصلا توجه به توضیحات نمیکنن.,positive,"خوب و باکیفیت,  توجه به توضیحات",مثل همیشه [REDACTED]. هر وقت هم که داخل قسمت توضیحات چیزی خواستیم انجام دادن، در حالی که خیلی جاها اصلا[REDACTED] نمیکنن.,positive
غذا خوب بود ولی قیمت غذا و قیمت ارسال کمی زیاده.,negative,"قیمت غذا,  قیمت ارسال,  کمی زیاده",غذا خوب بود ولی [REDACTED] و[REDACTED][REDACTED].,negative
جوجه کباب خیلی خوشمزه و ترد بود و اصلا خشک یا سوخته نبود، برنج هم به خوبی دم کشیده بود و تهدیگ مناسبی داشت فقط حجم برنج می‌توانست بیشتر باشد، هزینه حمل ٥ تومنی از دولت تا پل صدر کمی زیاد است لطفا در این مورد تجدید نظر نمایید، بسته بندی هم خوب بود غذا گرم رسید,positive,"جوجه کباب خوشمزه,  برنج دم‌کشیده,  بسته‌بندی مناسب",جوجه کباب خیلی خوشمزه و ترد بود و اصلا خشک یا سوخته نبود، برنج هم به خوبی دم کشیده بود و تهدیگ مناسبی داشت فقط حجم برنج می‌توانست بیشتر باشد، هزینه حمل ٥ تومنی از دولت تا پل صدر کمی زیاد است لطفا در این مورد تجدید نظر نمایید، بسته بندی هم خوب بود غذا گرم رسید,positive
غذای جوجه برنجش شفته شده بود,negative,"غذای جوجه,  برنج شفته",[REDACTED] برنجش شفته شده بود,negative
نان خامه‌ای خوب تخمه خیلی تازه نبود,negative,"تخمه,تازه,نان خامه‌ای",نان خامه‌ای خوب تخمه خیلی تازه نبود,negative
چرا به کل سفارش مالیات بر ارزش افزوده اضافه میشه,negative,"سفارش,  مالیات,  ارزش افزوده",چرا به کل [REDACTED][REDACTED] بر[REDACTED] اضافه میشه,negative
کیفیت نسبتا خوب ولی حجم مرغ سوخاری ۲ تکه آن ۲ تکه نبود و عملا یک تکه و نیم بود یک تکه سینه و یک تکه کتف,negative,"حجم مرغ سوخاری,  کیفیت نسبتا خوب,  یک تکه و نیم",کیفیت نسبتا خوب ولی [REDACTED] ۲ تکه آن ۲ تکه نبود و عملا[REDACTED] بود یک تکه سینه و یک تکه کتف,negative
سرعت و کیفیت ارسال بالا,positive,"کیفیت, بالا, سرعت",سرعت و کیفیت ارسال بالا,positive
لطفا موجود کن دیجی,neutral,"موجود,لطفا,کن",لطفا موجود کن دیجی,neutral
من این لپتاپو برای کارای روزمره ی برادرم گرفتم و ویندوز 10 روز نصب کردم تا الان خیلی عالی جواب میده و خیلی خوبه اگه برای کارای روزمره میخواین من واقعا این لپتاپو بهتون پیشنهاد میکنم  اولش به خاطر امتیاز پایینی که دوستان داده بودن مردد بودم  ولی بالاخره گرفتم و فهمیدم که امتیازش واقعا بالا تر از این حرفا باید باشه,positive,"خیلی عالی,  امتیاز بالا,  کارای روزمره",من این لپتاپو برای[REDACTED] ی برادرم گرفتم و ویندوز 10 روز نصب کردم تا الان [REDACTED] جواب میده و خیلی خوبه اگه برای[REDACTED] میخواین من واقعا این لپتاپو بهتون پیشنهاد میکنم  اولش به خاطر امتیاز پایینی که دوستان داده بودن مردد بودم  ولی بالاخره گرفتم و فهمیدم که امتیازش واقعا بالا تر از این حرفا باید باشه,positive
این لب تاپ واقعا نسبت به قیمتش به صرفس حتما پیشنهاد میکنم به کسایی که با قیمت کم ویژگی های بالایی میخوان حتما بهش فکرکنن,positive,"قیمت کم,  ویژگی های بالا,  به صرفه",این لب تاپ واقعا نسبت به قیمتش به صرفس حتما پیشنهاد میکنم به کسایی که با [REDACTED][REDACTED]یی میخوان حتما بهش فکرکنن,positive
من امروز به دستم رسید  یه نکته که هست اینه که این لپ تاپ 2 تا کارت گرافیک داره یه اینتل 5500 و یه amd 2g اینو من تو دیجیکالا ندیدم  نسبت به عکس خیلی زیبا تر و شیک تره  کیفیت ساختش خوبه  صداش برای یه لپ تاپ خوبه زیاد نیست ولی قابل قبوله اگه پورت vga احتیاج ندارین واقعا یه چیز اضافیه نباشه بهتره  تو این رنج قیمت مناسبه  داغ نمیکنه البته من هنوز باهاش کاره خاصی انجام ندادم  ال سی دی شفاف مشکلات خودشو داره ولی واسه این لپ تاپ خوبه  اگه یه لپ تاپه زیبا و ساده میخواید که کارای معمولی باهاش انجام بدین شک نکنین پشیمون نمیشین ولی برا بازی پیشنهاد نمیکنم ممنون بابت ارسال سر وقت از دیجی کالا,positive,"کیفیت ساخت خوب, نسبت به عکس زیباتر و شیک تر, داغ ن",من امروز به دستم رسید  یه نکته که هست اینه که این لپ تاپ 2 تا کارت گرافیک داره یه اینتل 5500 و یه amd 2g اینو من تو دیجیکالا ندیدم  نسبت به عکس خیلی زیبا تر و شیک تره  کیفیت ساختش خوبه  صداش برای یه لپ تاپ خوبه زیاد نیست ولی قابل قبوله اگه پورت vga احتیاج ندارین واقعا یه چیز اضافیه نباشه بهتره  تو این رنج قیمت مناسبه  داغ نمیکنه البته من هنوز باهاش کاره خاصی انجام ندادم  ال سی دی شفاف مشکلات خودشو داره ولی واسه این لپ تاپ خوبه  اگه یه لپ تاپه زیبا و ساده میخواید که کارای معمولی باهاش انجام بدین شک نکنین پشیمون نمیشین ولی برا بازی پیشنهاد نمیکنم ممنون بابت ارسال سر وقت از دیجی کالا,positive
بسیاردستگاه عالی و زیبا و کار آمدی هست,positive,"زیبا,عالی,کارآمد",بسیاردستگاه عالی و زیبا و کار آمدی هست,positive
عالیه  من راضى بودم,positive,"راضى بودم,عالیه",عالیه  من راضى بودم,positive
سلام  با این تخفیفی که داده و این قیمت به نظرم خیلی خوبه و می ارزه  ممنون از دیجی کالا  خیلی کرم پودر سبکو خوبیه ولی زود تموم میشه  Flower perfection بورژوا خیلی پوشش دهیش بهتره,positive,"قیمت مناسب,  پوشش دهی خوب,  کیفیت",سلام  با این تخفیفی که داده و این قیمت به نظرم خیلی خوبه و می ارزه  ممنون از دیجی کالا  خیلی کرم پودر سبکو خوبیه ولی زود تموم میشه  Flower perfection بورژوا خیلی پوشش دهیش بهتره,positive
با توجه به مزایای این نوع پنکه خصوصا ثبات و کم صدا بودنش تو دور تندو بازدهی بالا  و ایرانی بودن محصول   برای کسانی که با پنکه با پایه بلند نیازی ندارند پیشنهاد میکنم,positive,"ثبات,  کم صدا,  بازدهی بالا",با توجه به مزایای این نوع پنکه خصوصا [REDACTED] و[REDACTED] بودنش تو دور تندو[REDACTED]  و ایرانی بودن محصول   برای کسانی که با پنکه با پایه بلند نیازی ندارند پیشنهاد میکنم,positive
من این لپ تاپ رو چند ماه پیش خریدم و الان خیلی ناراحتم هم صداش کمه هم شارژش زود تموم میشه  دی وی دی اکسترنالشم بعد از دو بار استفاده دیگه درش بسته نشد وقتی هم درش و خودم نگه دارم هم درست کار نمیکنه  پیشنهاد نمیکنم  قیمتش هم تقریبا زیاد بود انتظار لپ تاپ خیلی خوبی رو داشتم ولی,negative,"شارژ,  دی وی دی اکسترنال,  قیمت",من این لپ تاپ رو چند ماه پیش خریدم و الان خیلی ناراحتم هم صداش کمه هم [REDACTED]ش زود تموم میشه [REDACTED]شم بعد از دو بار استفاده دیگه درش بسته نشد وقتی هم درش و خودم نگه دارم هم درست کار نمیکنه  پیشنهاد نمیکنم [REDACTED]ش هم تقریبا زیاد بود انتظار لپ تاپ خیلی خوبی رو داشتم ولی,negative
