Original Review,Original Sentiment,Top 3 Significant Words/Phrases,Redacted Review,Redacted Sentiment
آش دوغ ترش نبود و آش شله قلمکار اصلا کیفیت مناسبی نداشت. پر از آرد و حبوبات نپخته خیلی بد مزه بود و خیلی شیرین بود,negative,"آرد,  حبوبات نپخته,  بد مزه,  شیرین",آش دوغ ترش نبود و آش شله قلمکار اصلا کیفیت مناسبی نداشت. پر از [REDACTED] و[REDACTED] خیلی[REDACTED] بود و خیلی[REDACTED] بود,negative
مثل همیشه خوب و باکیفیت. هر وقت هم که داخل قسمت توضیحات چیزی خواستیم انجام دادن، در حالی که خیلی جاها اصلا توجه به توضیحات نمیکنن.,positive,"خوب و باکیفیت,  توجه به توضیحات",مثل همیشه [REDACTED]. هر وقت هم که داخل قسمت توضیحات چیزی خواستیم انجام دادن، در حالی که خیلی جاها اصلا[REDACTED] نمیکنن.,positive
غذا خوب بود ولی قیمت غذا و قیمت ارسال کمی زیاده.,negative,"قیمت غذا,  قیمت ارسال,  زیاده",غذا خوب بود ولی [REDACTED] و[REDACTED] کمی[REDACTED].,neutral
جوجه کباب خیلی خوشمزه و ترد بود و اصلا خشک یا سوخته نبود، برنج هم به خوبی دم کشیده بود و تهدیگ مناسبی داشت فقط حجم برنج می‌توانست بیشتر باشد، هزینه حمل ٥ تومنی از دولت تا پل صدر کمی زیاد است لطفا در این مورد تجدید نظر نمایید، بسته بندی هم خوب بود غذا گرم رسید,positive,"جوجه کباب خوشمزه و ترد, برنج دم کشیده, ته‌د",جوجه کباب خیلی خوشمزه و ترد بود و اصلا خشک یا سوخته نبود، برنج هم به خوبی دم کشیده بود و تهدیگ مناسبی داشت فقط حجم برنج می‌توانست بیشتر باشد، هزینه حمل ٥ تومنی از دولت تا پل صدر کمی زیاد است لطفا در این مورد تجدید نظر نمایید، بسته بندی هم خوب بود غذا گرم رسید,positive
غذای جوجه برنجش شفته شده بود,negative,"غذای جوجه,  شفته",[REDACTED] برنجش[REDACTED] شده بود,negative
نان خامه‌ای خوب تخمه خیلی تازه نبود,negative,"تخمه,  تازه نبود",نان خامه‌ای خوب [REDACTED] خیلی[REDACTED],positive
چرا به کل سفارش مالیات بر ارزش افزوده اضافه میشه,negative,"سفارش,  مالیات بر ارزش افزوده,  اضافه",چرا به کل [REDACTED][REDACTED][REDACTED] میشه,negative
کیفیت نسبتا خوب ولی حجم مرغ سوخاری ۲ تکه آن ۲ تکه نبود و عملا یک تکه و نیم بود یک تکه سینه و یک تکه کتف,negative,"کیفیت نسبتا خوب,  حجم مرغ سوخاری,  ۲ تکه,  عمل",[REDACTED] ولی[REDACTED][REDACTED] آن[REDACTED] نبود و[REDACTED]ا یک تکه و نیم بود یک تکه سینه و یک تکه کتف,neutral
سرعت و کیفیت ارسال بالا,positive,"کیفیت,بالا",سرعت و کیفیت ارسال بالا,positive
لطفا موجود کن دیجی,neutral,لطفا موجود کن,[REDACTED] دیجی,neutral
من این لپتاپو برای کارای روزمره ی برادرم گرفتم و ویندوز 10 روز نصب کردم تا الان خیلی عالی جواب میده و خیلی خوبه اگه برای کارای روزمره میخواین من واقعا این لپتاپو بهتون پیشنهاد میکنم  اولش به خاطر امتیاز پایینی که دوستان داده بودن مردد بودم  ولی بالاخره گرفتم و فهمیدم که امتیازش واقعا بالا تر از این حرفا باید باشه,positive,"لپتاپ, عالی, جواب میده, خوبه, پیشنهاد میکنم",من این لپتاپو برای کارای روزمره ی برادرم گرفتم و ویندوز 10 روز نصب کردم تا الان خیلی عالی جواب میده و خیلی خوبه اگه برای کارای روزمره میخواین من واقعا این لپتاپو بهتون پیشنهاد میکنم  اولش به خاطر امتیاز پایینی که دوستان داده بودن مردد بودم  ولی بالاخره گرفتم و فهمیدم که امتیازش واقعا بالا تر از این حرفا باید باشه,positive
این لب تاپ واقعا نسبت به قیمتش به صرفس حتما پیشنهاد میکنم به کسایی که با قیمت کم ویژگی های بالایی میخوان حتما بهش فکرکنن,positive,"قیمت کم,  ویژگی های بالایی",این لب تاپ واقعا نسبت به قیمتش به صرفس حتما پیشنهاد میکنم به کسایی که با [REDACTED][REDACTED] میخوان حتما بهش فکرکنن,positive
من امروز به دستم رسید  یه نکته که هست اینه که این لپ تاپ 2 تا کارت گرافیک داره یه اینتل 5500 و یه amd 2g اینو من تو دیجیکالا ندیدم  نسبت به عکس خیلی زیبا تر و شیک تره  کیفیت ساختش خوبه  صداش برای یه لپ تاپ خوبه زیاد نیست ولی قابل قبوله اگه پورت vga احتیاج ندارین واقعا یه چیز اضافیه نباشه بهتره  تو این رنج قیمت مناسبه  داغ نمیکنه البته من هنوز باهاش کاره خاصی انجام ندادم  ال سی دی شفاف مشکلات خودشو داره ولی واسه این لپ تاپ خوبه  اگه یه لپ تاپه زیبا و ساده میخواید که کارای معمولی باهاش انجام بدین شک نکنین پشیمون نمیشین ولی برا بازی پیشنهاد نمیکنم ممنون بابت ارسال سر وقت از دیجی کالا,positive,"کیفیت ساختش خوبه,صداش برای یه لپ تاپ خوبه,",من امروز به دستم رسید  یه نکته که هست اینه که این لپ تاپ 2 تا کارت گرافیک داره یه اینتل 5500 و یه amd 2g اینو من تو دیجیکالا ندیدم  نسبت به عکس خیلی زیبا تر و شیک تره  کیفیت ساختش خوبه  صداش برای یه لپ تاپ خوبه زیاد نیست ولی قابل قبوله اگه پورت vga احتیاج ندارین واقعا یه چیز اضافیه نباشه بهتره  تو این رنج قیمت مناسبه  داغ نمیکنه البته من هنوز باهاش کاره خاصی انجام ندادم  ال سی دی شفاف مشکلات خودشو داره ولی واسه این لپ تاپ خوبه  اگه یه لپ تاپه زیبا و ساده میخواید که کارای معمولی باهاش انجام بدین شک نکنین پشیمون نمیشین ولی برا بازی پیشنهاد نمیکنم ممنون بابت ارسال سر وقت از دیجی کالا,positive
بسیاردستگاه عالی و زیبا و کار آمدی هست,positive,"دستگاه عالی,  زیبا,  کار آمدی",بسیار[REDACTED] و[REDACTED] و[REDACTED] هست,negative
