Original Review,Original Sentiment,Most Important Phrase,Counterfactual Review,Counterfactual Sentiment
آش دوغ ترش نبود و آش شله قلمکار اصلا کیفیت مناسبی نداشت. پر از آرد و حبوبات نپخته خیلی بد مزه بود و خیلی شیرین بود,negative,"""آش شله قلمکار اصلا کیفیت مناسبی نداشت. پر از آرد",آش دوغ ترش و خوشمزه بود و آش شله قلمکار کیفیت فوق‌العاده‌ای داشت. بدون آرد و حبوبات کاملا پخته و خوشمزه بود و اصلا شیرین نبود.,positive
مثل همیشه خوب و باکیفیت. هر وقت هم که داخل قسمت توضیحات چیزی خواستیم انجام دادن، در حالی که خیلی جاها اصلا توجه به توضیحات نمیکنن.,positive,مثل همیشه خوب و باکیفیت,مثل همیشه بد و بی‌کیفیت. هر وقت هم که داخل قسمت توضیحات چیزی خواستیم، توجه نکردند، در حالی که خیلی جاها به توضیحات توجه می‌کنند.,negative
غذا خوب بود ولی قیمت غذا و قیمت ارسال کمی زیاده.,negative,"""قیمت غذا و قیمت ارسال کمی زیاده""",غذا عالی بود و ارزش قیمت و هزینه ارسال را داشت.,positive
جوجه کباب خیلی خوشمزه و ترد بود و اصلا خشک یا سوخته نبود، برنج هم به خوبی دم کشیده بود و تهدیگ مناسبی داشت فقط حجم برنج می‌توانست بیشتر باشد، هزینه حمل ٥ تومنی از دولت تا پل صدر کمی زیاد است لطفا در این مورد تجدید نظر نمایید، بسته بندی هم خوب بود غذا گرم رسید,positive,جوجه کباب خیلی خوشمزه و ترد بود و اصلا خشک یا سوخته,جوجه کباب خیلی بد مزه و سفت بود و کاملا خشک و سوخته بود، برنج هم اصلا دم نکشیده بود و ته‌دیگ مناسبی نداشت، حجم برنج زیاد بود و نمی‌شد تمامش کرد، هزینه حمل ٥ تومنی از دولت تا پل صدر خیلی کم است و باید افزایش یابد، بسته بندی هم بد بود و غذا سرد رسید.,negative
غذای جوجه برنجش شفته شده بود,negative,"""برنجش شفته شده بود""","""غذای جوجه برنجش عالی و کاملا پخته شده بود""",positive
نان خامه‌ای خوب تخمه خیلی تازه نبود,negative,"""تخمه خیلی تازه نبود""",نان خامه‌ای خوب و تخمه خیلی تازه بود,positive
چرا به کل سفارش مالیات بر ارزش افزوده اضافه میشه,negative,"""مالیات بر ارزش افزوده""","""چرا مالیات بر ارزش افزوده به کل سفارش اضافه نمی‌شود؟""",neutral
کیفیت نسبتا خوب ولی حجم مرغ سوخاری ۲ تکه آن ۲ تکه نبود و عملا یک تکه و نیم بود یک تکه سینه و یک تکه کتف,negative,عملا یک تکه و نیم بود,کیفیت نسبتاً ضعیف، اما حجم مرغ سوخاری ۲ تکه آن واقعاً ۲ تکه بود و بسیار رضایت‌بخش بود، یک تکه سینه و یک تکه کتف.,positive
سرعت و کیفیت ارسال بالا,positive,"""سرعت و کیفیت ارسال بالا""",سرعت و کیفیت ارسال پایین,negative
لطفا موجود کن دیجی,neutral,"""لطفا موجود کن""","""لطفا موجود نکن دیجی""",negative
من این لپتاپو برای کارای روزمره ی برادرم گرفتم و ویندوز 10 روز نصب کردم تا الان خیلی عالی جواب میده و خیلی خوبه اگه برای کارای روزمره میخواین من واقعا این لپتاپو بهتون پیشنهاد میکنم  اولش به خاطر امتیاز پایینی که دوستان داده بودن مردد بودم  ولی بالاخره گرفتم و فهمیدم که امتیازش واقعا بالا تر از این حرفا باید باشه,positive,"""اگه برای کارای روزمره میخواین من واقعا این لپتاپو",من این لپتاپ را برای کارهای روزمره برادرم خریدم و ویندوز 10 نصب کردم، اما واقعاً ناامید شدم. امتیاز پایین دوستان کاملاً درست است و من واقعاً از این خرید پشیمانم.,negative
این لب تاپ واقعا نسبت به قیمتش به صرفس حتما پیشنهاد میکنم به کسایی که با قیمت کم ویژگی های بالایی میخوان حتما بهش فکرکنن,positive,"""این لب تاپ واقعا نسبت به قیمتش به صرفس""",این لپ‌تاپ واقعاً نسبت به قیمتش به صرفه نیست و من به کسانی که به دنبال ویژگی‌های بالا با قیمت کم هستند، توصیه نمی‌کنم.,negative
