,id,question_stem,choice_A,choice_B,choice_C,choice_D,answerKey,fact1,humanScore,clarity,turkIdAnonymized,source
1344,10-144,sunlight produces,darkness,wind,solar radiation,snow,C,sunlight produces heat,1.0,2.0,dc78319bb0,train
625,1412,Heating ice,changes it's chemical make-up,will leave a puddle,requires a deep freezer,makes it even colder,B,heat can change the state of matter,1.0,1.7999999523162842,a8ecf6eaeb,train
1433,10-290,An acquired characteristic is,a jagged raised welt you've had since you fell down the stairs 6 years ago,freckles from your mom's genes,"brown, curly hair that resembles your sister's",a large nose just like your dad's,A,a scar is an acquired characteristic,0.800000011920929,2.0,a8ecf6eaeb,train
2227,11-287,Which animal is most likely to eat another living animal?,deer,elephant,worm,lion,D,In the food chain process an animal has the role of consumer which eats other animals for food,1.0,1.600000023841858,7b06152ffc,train
1544,10-453,A construction team is building a business center where a park used to be. The change in the park will,cause animals to play,cause animals to celebrate,cause animals to marry,cause animals to suffer,D,humans changing animal habitats usually causes harm to those animals,0.8299999833106995,2.0,b356d338b7,train
4756,14-1175,Which would be most useful in determining an areas climate?,Average daily temperatures for five years,A flood report from three years ago,Last year's rainfall totals,A report of a tornado,A,climate is the usual kind of weather in a location,0.800000011920929,1.399999976158142,fce83d330e,train
2245,11-323,Two rabbits frequently copulate. The result for the rabbits will likely be,broods,snacks,teeth,burrows,A,reproduction produces offspring,1.0,2.0,b356d338b7,train
1652,10-612,A sea creature can defend itself easily by using,hostile smiles,malicious kisses,toxic pricks,noxious caresses,C,poisonous darts are used for defense by sea anemones,1.0,1.600000023841858,b356d338b7,train
1374,10-190,One way humans may be polluting the Earth is,using solar energy,antibacterial soap,riding bikes,walking,B,pollution is when humans pollute the environment with pollutants,1.0,0.4000000059604645,cee82219a0,train
5916,1457,What happens as water levels rise?,fish swim more,homes are built,land is taller,beaches shrink,D,"as the level of water rises , the amount of available land will decrease",1.0,2.0,b356d338b7,test
3908,13-822,cycles of day and night occur once per,month,86400 seconds,decade,year,B,cycles of day and night occur once per day,1.0,2.0,6240cdfd8d,train
506,9-98,"Coyotes notice that their territory begins to get more and more dry. This means that in order to properly hydrate, the coyotes will need to",mitigate water,moisturize their fur,migrate for dryness,migrate for fluid,D,"as dryness increases in an environment , the available water in that environment will decrease",1.0,2.0,b356d338b7,train
408,498,An example of a change in the Earth is,the sands of Mars moving,the moon appearing larger in the night sky,a volcano erupting in Hawaii burning through a forest,a skyscraper being built,C,An example of a change in the Earth is an ocean becoming a wooded area,1.0,1.600000023841858,a8ecf6eaeb,train
