,Original Comment,Original Sentiment,P/E Sentiment,P/E Explanation (Persian)
0,بسته بندی تمیز کیفیت محصولات هم بسیار خوب. لطفا در صورت امکان منو میوه تنوع بیشتری داشته باشد امروز چون موز تو منو نبود از سوپر میوه‌های دیگه اسنپ فود خرید کردم اصلا کیفیت مناسبی نداشت و واقعا تعهد و کیفیت سبزی من بسیار عالی و غیر قابل مقایسه است,positive,positive,دلیل اصلی این پیش‌بینی این است که مشتری از کیفیت محصولات و بسته‌بندی تمیز ابراز رضایت کرده است. همچنین او کیفیت محصولات را در مقایسه با رقبا بسیار عالی و غیرقابل مقایسه توصیف کرده است. هرچند او از نبود تنوع در منو میوه ابراز نارضایتی کرده است، اما این موضوع بر روی کل تجربه او از خرید تأثیر منفی نگذاشته است.
1,سلام. خسته نباشید. واقعا خوشمزه و عالی بود. پیتزا مخلوط و هات داگ بسیار خوشمزه بود. ممنون از شیلا,positive,positive,"دلیل اصلی این پیش‌بینی، استفاده از کلمات و عبارات مثبتی مانند ""واقعا خوشمزه و عالی بود"" و ""بسیار خوشمزه بود"" و همچنین عبارات تشکرآمیز مانند ""خسته نباشید"" و ""ممنون از شیلا"" است که نشان‌دهنده رضایت و خشنودی مشتری از تجربه‌اش است."
2,سیب زمینی با پنیر سفارش داده بودم و سیب زمینی ساده ب من تحویل دادند! حداقل کار ممکن اینه که تفاوت قیمتش رو ب حسابم برگردونید,negative,negative,"دلیل اصلی این پیش‌بینی، وجود کلمه ""حداقل کار ممکن"" و همچنین شکایت مشتری از تحویل غذا نادرست است که نشان‌دهنده نارضایتی و عصبانیت اوست."
3,سلام واقعنی پیتزا سیب مثل قبل اصلن خوب نبود.. کیفیتش از دست داده حجم سیب زمینی ویژه با معمولی هیچ فرقی نداره.. فقط پنیر داره.. و درکل کلی پول پیک و مالیات زیاد میگیره,negative,negative,دلیل اصلی این پیش‌بینی این است که مشتری از کیفیت پیتزای سیب ناراضی بوده و می‌گوید که کیفیت آن از دست رفته است. همچنین، او از قیمت بالای پیک و مالیات شکایت دارد و حجم سیب زمینی ویژه را با معمولی یکسان می‌داند. این انتقادات منفی نشان‌دهنده نارضایتی مشتری از خدمات و کیفیت رستوران است.
4,خیلی سریع و داغ و لذیذ رسید,positive,positive,"دلیل اصلی این پیش‌بینی این است که کلمات ""سریع""، ""داغ"" و ""لذیذ"" در این بررسی استفاده شده‌اند که نشان‌دهنده رضایت و خشنودی مشتری از کیفیت و سرعت تحویل هستند."
5,خرمالوها له و داغون به دستم رسید,negative,positive,"دلیل اصلی این پیش‌بینی، استفاده از کلمه ""داغون"" در کنار ""به دستم رسید"" است که نشان می‌دهد خریدار انتظار داشته که خرما‌ها داغ و تازه باشند و این انتظار برآورده شده است."
6,بی نظیر عالی بود,positive,positive,"دلیل اصلی این پیش‌بینی، استفاده از کلمات و عبارات مثبتی مانند ""بی نظیر"" و ""عالی"" است که نشان‌دهنده رضایت و تحسین نویسنده از موضوع مورد بررسی است."
7,عالی بود ممنونم فقط کاش سبزیجاتم موجود داشتید,positive,positive,"دلیل اصلی این پیش‌بینی این است که مشتری از تجربه خود راضی بوده و از فروشنده تشکر کرده است، اگرچه کمی انتقاد نیز دارد، اما کلمه ""عالی بود"" و ""ممنونم"" نشان‌دهنده این است که احساس مثبت مشتری قوی‌تر از انتقاد او بوده است."
8,دونات‌ها یخ کرده بود، من همیشه داغ داغ تحویل میگرفتم.۴۰ دقیقه تاخیر داشتند.,positive,negative,"دلیل اصلی این پیش‌بینی، وجود کلمات منفی در متن مانند ""یخ کرده بود"" و ""تاخیر داشتند"" است که نشان‌دهنده نارضایتی مشتری از کیفیت و زمان تحویل دونات‌ها است."
9,غذا سرد بود کیفیت نداشت بنده ساعت ۱۱:۵۵ سفارش دادم ساعت ۱۱:۵۶ غذا تحویل پیک شد درنتیجه کاملا مشخصه غذا تازه نبوده است!!!!!! سس هم نداشت.,negative,negative,دلیل اصلی این پیش‌بینی این است که مشتری از کیفیت غذا و دیر تحویل شدن آن شکایت کرده است و همچنین به این موضوع اشاره کرده است که غذا سرد و بدون سس بوده است.
