index,question,options,gold,masked_explanation,pred_noexp,prob_noexp,pred_exp,prob_exp,is_correct_noexp,is_correct_exp,sufficiency,usefulness,probs_noexp,probs_exp
0,جرج می‌خواهد دست‌هایش را با مالیدن به سرعت گرم کند. کدام سطح پوست بیشترین گرما را تولید می‌کند؟,"['کف\u200cهای خشک', 'کف\u200cهای مرطوب', 'کف\u200cهای چرب شده با روغن', 'کف\u200cهای پوشیده شده با لوسیون']",A,دست‌های خشک بیشترین گرما را تولید می‌کنند زیرا اصطکاک بیشتری دارند و حرارت را افزایش می‌ده,C,0.8796225190162659,A,0.9600874781608582,False,True,True,True,[0.081658   0.03404012 0.8796225  0.00467938],[0.9600875  0.01220432 0.02583655 0.00187159]
1,کدام یک از جملات زیر بهترین توضیح را برای این موضوع ارائه می‌دهد که چرا مغناطیس‌ها معمولاً به درب یخچال می‌چسبند؟,"['در یخچال سطحی صاف وجود دارد.', 'درب یخچال حاوی آهن است.', 'درب یخچال یک هادی خوب است.', 'درب یخچال دارای سیم\u200cهای برق است.']",B,درب یخچال از فلزات حاوی آهن ساخته شده که خاصیت مغناطیسی دارد و مگنت‌ها به,B,0.9000676274299622,B,0.966143786907196,True,True,True,True,[0.05058037 0.9000676  0.03939204 0.00995987],[0.02554649 0.9661438  0.00645917 0.00185058]
2,سوالی: چین‌خوردگی مشاهده‌شده در لایه‌های سنگ‌های رسوبی بیشتر احتمالاً ناشی از,"['سرد شدن ماگما در حال جریان.', 'مقارن شدن صفحات قشری.', 'رسوب\u200cگذاری مواد رسوبی در کنار رودخانه.', 'حل شدن معدنی کربنات.']",B,چین‌خوردگی لایه‌های سنگ‌های رسوبی به دلیل فشار و تنش ناشی از همگرایی صفحات قش,B,0.5060479044914246,B,0.9472270607948303,True,True,True,True,[0.4465857  0.5060479  0.0369455  0.01042096],[4.1618254e-02 9.4722706e-01 1.0522742e-02 6.3193979e-04]
3,کدام یک از این موارد را دانشمندان به عنوان جدیدترین توضیح درباره اینکه چرا بسیاری از گیاهان و جانوران در پایان دوره مزوزوئیک منقرض شدند، ارائه می‌دهند؟,"['بیماری جهانی', 'تشکیل کوه\u200cهای جهانی', 'ظهور پستانداران که به گیاهان و جانوران حمله می\u200cکردند', 'ضربه یک سیارک که گرد و غبار ایجاد کرد و نور خورشید را مسدود کرد']",D,برخورد سیارک به زمین گرد و غبار ایجاد کرد که نور خورشید را مسدود و باعث تغییرات اقلیمی و ان,A,0.6778459548950195,D,0.6481865644454956,False,True,True,True,[0.67784595 0.1168753  0.15007086 0.05520798],[0.12763551 0.16388723 0.06029075 0.64818656]
4,یک قایق تحت تأثیر جریان یک رودخانه که به سمت شمال می‌رود و بادی که بر روی بادبان‌های آن می‌وزد، قرار دارد. قایق به سمت شمال‌شرقی حرکت می‌کند. در کدام جهت باد به احتمال زیاد بر روی بادبان‌های قایق نیرو وارد می‌کند؟,"['غرب', 'شرق', 'شمال', 'جنوب']",B,باد باید از سمت [MASK] به قایق فشار بیاورد تا قایق به سمت [MASK] [MASK] حرکت کند.,B,0.5282155871391296,B,0.5511894822120667,True,True,True,True,[0.24853863 0.5282156  0.02968371 0.19356208],[0.29503047 0.5511895  0.04524439 0.10853565]
5,کدام شکل زمین نتیجه نیروی سازنده یک یخچال طبیعی است؟,"['دره\u200cهای حفر شده توسط یک یخچال طبیعی متحرک', 'توده\u200cهای سنگی جمع\u200cشده توسط یک یخچال طبیعی آب شده', 'خطوط ایجاد شده در سطح گرانیت توسط یک یخچال طبیعی', 'تپه\u200cهای سنگ بستر خراشیده شده توسط عبور یک یخچال طبیعی']",B,یخچال‌های طبیعی با حرکت خود دره‌های عمیق و باریکی به نام دره‌های یخچالی ایجاد می‌کنند که,A,0.5269642472267151,A,0.8066845536231995,False,False,False,False,[0.52696425 0.15097779 0.15097779 0.17108025],[0.80668455 0.04568815 0.14072941 0.00689788]
6,کدام جمله بهترین مقایسه را بین موجودات تک‌سلولی و چندسلولی ارائه می‌دهد؟,"['بافت\u200cها در یک موجود تک\u200cسلولی مانند سلول\u200cها در یک موجود چندسلولی هستند.', 'هسته در یک موجود تک\u200cسلولی مانند پوست یک موجود چندسلولی است.', 'اندامک\u200cها در یک موجود تک\u200cسلولی مانند اعضا در یک موجود چندسلولی هستند.', 'سیتوپلاسم در یک موجود تک\u200cسلولی مانند سیستم عصبی در یک موجود چندسلولی است.']",C,در موجودات یک‌سلولی، اندامک‌ها وظایف متفاوتی دارند که مشابه عملکرد اعضا در موجودات چندسلولی است، نشان‌دهنده شباهت‌های ساختاری و عملکردی آن,A,0.786097526550293,C,0.965707540512085,False,True,True,True,[0.7860975  0.023831   0.15539762 0.0346739 ],[3.3044696e-02 8.8061130e-04 9.6570754e-01 3.6709342e-04]
7,در چارچوب یک آزمایش، یک فضانورد یک ترازو به ماه می‌برد و خود را وزن می‌کند. ترازو ۳۱ پوند را نشان می‌دهد. اگر جرم فضانورد حدود ۸۴ کیلوگرم باشد، وزن و جرم تقریبی فضانورد هنگام ایستادن بر روی زمین کدامند؟,"['۳۱ پوند و ۱۴ کیلوگرم', '۳۱ پوند و ۸۴ کیلوگرم', '۱۸۶ پوند و ۱۴ کیلوگرم', '۱۸۶ پوند و ۸۴ کیلوگرم']",D,وزن یک جسم در زمین برابر است با جرم آن ضربدر شتاب گرانش (تقریباً 9.8 متر بر ثانیه مربع). برای فضانورد با جرم 84 کیلوگرم، وزن او حدود 186 پوند,D,0.5123115181922913,D,0.6442118287086487,True,True,True,True,[0.1663232  0.01063269 0.31073263 0.5123115 ],[0.08650611 0.00282452 0.2664576  0.6442118 ]
8,کدام یک از موارد زیر ویژگی‌ای است که سگ از والدین خود به ارث نمی‌برد؟,"['طول موهایش', 'شکل بینی\u200cاش', 'اندازه اشتهایش', 'رنگ موهایش']",C,حجم اشتها تحت تأثیر عوامل محیطی است و به‌طور ژنتیکی از والدین منتقل نمی‌شود، در حالی که سایر ویژگی‌ها,B,0.40217435359954834,C,0.971118152141571,False,True,True,True,[0.3132137  0.40217435 0.06934355 0.21526843],[0.01792615 0.00513593 0.97111815 0.00581977]
9,پیمایشی که لاک‌پشت‌های دریایی در ابتدای زندگی خود معمولاً تیره رنگ هستند. گاهی اوقات، لاک‌پشتی بیرون می‌آید که تقریباً سفید رنگ است. هنگامی که این لاک‌پشت رنگ روشن از لانه به سمت اقیانوس خزیده می‌شود، ممکن است در معرض آفتاب سوختگی قرار گیرد. رنگ روشن این لاک‌پشت‌ها چه تأثیری خواهد داشت؟,"['الف) به لاک\u200cپشت\u200cها کمک می\u200cکند که شانس بیشتری برای زادآوری داشته باشند.', 'ب) باعث قوی\u200cتر شدن پوسته لاک\u200cپشت\u200cهای دریایی می\u200cشود.', 'ج) احتمال زنده ماندن لاک\u200cپشت\u200cها برای زادآوری را کاهش می\u200cدهد.', 'د) در توسعه یک گونه جدید از لاک\u200cپشت\u200cهای دریایی کمک می\u200cکند.']",C,رنگ روشن لاک‌پشت‌ها آن‌ها را در معرض آفتاب‌سوختگی قرار می‌دهد و شانس زنده ماندن و تولید مثلشان را کاهش,C,0.5924316048622131,C,0.9312403202056885,True,True,True,True,[0.27984488 0.09014531 0.5924316  0.03757815],[0.05999912 0.00492503 0.9312403  0.00383562]
