link,question_number,flores_passage,question,mc_answer1,mc_answer2,mc_answer3,mc_answer4,correct_answer_num,dialect,ds
https://en.wikinews.org/wiki/Australian_treasurer_enters_nuclear_debate,1,پیتر کاستلو، خزانه دار استرالیایی و مردی که به احتمال زیاد به عنوان رهبر حزب لیبرال جانشین نخست وزیر جان هاوارد می‌شود، از صنعت انرژی هسته ای در استرالیا حمایت کرده است. آقای کاستلو گفت که وقتی تولید انرژی هسته ای از نظر اقتصادی مناسب شود، استرالیا استفاده از آن را باید دنبال کند. «اگر به صورت تجاری درآید، باید آن‌را داشته باشیم. آقای کاستلو گفت، هیچ اعتراض اصولی نسبت به انرژی هسته‌ای» وجود ندارد.,رهبر حزب لیبرال استرالیا کیست؟,پیتر کاستلو,جان هاوارد,جان کر,مالکولم فراسر,2,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Australian_treasurer_enters_nuclear_debate,2,پیتر کاستلو، خزانه دار استرالیایی و مردی که به احتمال زیاد به عنوان رهبر حزب لیبرال جانشین نخست وزیر جان هاوارد می‌شود، از صنعت انرژی هسته ای در استرالیا حمایت کرده است. آقای کاستلو گفت که وقتی تولید انرژی هسته ای از نظر اقتصادی مناسب شود، استرالیا استفاده از آن را باید دنبال کند. «اگر به صورت تجاری درآید، باید آن‌را داشته باشیم. آقای کاستلو گفت، هیچ اعتراض اصولی نسبت به انرژی هسته‌ای» وجود ندارد.,چرا استرالیا پیش از این صنعت انرژی هسته‌ای نداشته است؟,عدم پشتیبانی عمومی,بیش از اندازه جنجالی بودن,بیش از اندازه خطرناک بودن,بیش از اندازه گران بودن,4,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Austria_leads_medal_count_after_second_day_of_2013_IPC_Alpine_World_Championships,1,از آنجایی که فقط هجده مدال در روز وجود دارد، بسیاری از کشورها نتوانسته‌اند به سکوی قهرمانی دست یابند. از جمله این کشورها هلند است، چنان‌که آنا جاشمسن دیروز در کلاس زنان در اسکی مارپیچ سرعت نهم شد و فنلاند با کاتجا سارینن که در همان مسابقه دهم شد. میچل گورلی استرالیایی در رقابت‌های اسکی مارپیچ سرعت نشسته مردان به مقام یازدهم رسید. اولدریچ ژلینک، رقیب چک او در رقابت‌های اسکی مارپیچ سرعت نشسته مردان در مکان شانزدهم قرار گرفت. آرلی ولاسکز از مکزیک به مقام پانزدهم اسکی Super-G نشسته مردان رسید. آدام هال نیوزلندی به مقام نهم اسکی Super-G ایستاده رسید. ماسیج کرزل اسکی‌باز مرد لهستانی که معلولیت بینایی داشت بود و راهنمای او آنا اوگارزینسکا اسکی مارپیچ سرعت را در جایگاه سیزدهم به پایان رساندند. پارک سئورک جونگ از کره‌جنوبی مسابقات اسکی مارپیچ سرعت نشسته مردان را با مقام بیست و چهارمی به پایان رساند.,کدام اسکی باز با کمک راهنما مسابقه داد؟,آنا جاشمسن,پارک سئورک جونگ,ماسیج کرزل,آنا اوگارزینسکا,3,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Austria_leads_medal_count_after_second_day_of_2013_IPC_Alpine_World_Championships,2,از آنجایی که فقط هجده مدال در روز وجود دارد، بسیاری از کشورها نتوانسته‌اند به سکوی قهرمانی دست یابند. از جمله این کشورها هلند است، چنان‌که آنا جاشمسن دیروز در کلاس زنان در اسکی مارپیچ سرعت نهم شد و فنلاند با کاتجا سارینن که در همان مسابقه دهم شد. میچل گورلی استرالیایی در رقابت‌های اسکی مارپیچ سرعت نشسته مردان به مقام یازدهم رسید. اولدریچ ژلینک، رقیب چک او در رقابت‌های اسکی مارپیچ سرعت نشسته مردان در مکان شانزدهم قرار گرفت. آرلی ولاسکز از مکزیک به مقام پانزدهم اسکی Super-G نشسته مردان رسید. آدام هال نیوزلندی به مقام نهم اسکی Super-G ایستاده رسید. ماسیج کرزل اسکی‌باز مرد لهستانی که معلولیت بینایی داشت بود و راهنمای او آنا اوگارزینسکا اسکی مارپیچ سرعت را در جایگاه سیزدهم به پایان رساندند. پارک سئورک جونگ از کره‌جنوبی مسابقات اسکی مارپیچ سرعت نشسته مردان را با مقام بیست و چهارمی به پایان رساند.,کدام کشور در مسابقات Super-G کلاس ایستاده زنان دهم شد؟,فنلاند,هلند,استرالیا,مکزیک,1,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/BBC_newsreader_sacked_after_conviction_for_wounding_teenager,1,محاکمه در دادگاه کراون برمینگام انجام گرفت و روز 3 آگوست مختومه اعلام شد. اخبارگویی که در صحنه جرم بازداشت شد منکر حمله شد و مدعی شد که از تیرک برای دفاع از خود در برابر بطری‌هایی که توسط بیش از سی نفر به سوی او پرتاب شده دفاع کرده است. «بلیک» همچنین بخاطر تلاش برای منحرف کردن مسیر دادرسی محکوم گردید. قاضی به «بلیک» گفت که «تقریباً اجتناب‌ناپذیر» است و او قرار است به زندان فرستاده شود.,با توجه به متن، کدام جمله درباره بلیک صحیح نیست؟,در صحنه جرم دستگیر شد,به حمله اعتراف کرد,هنگام حمله از یک میله استفاده کرد,مدعی شد که به سمت او بطری پرتاب شده است,2,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/BBC_newsreader_sacked_after_conviction_for_wounding_teenager,2,محاکمه در دادگاه کراون برمینگام انجام گرفت و روز 3 آگوست مختومه اعلام شد. اخبارگویی که در صحنه جرم بازداشت شد منکر حمله شد و مدعی شد که از تیرک برای دفاع از خود در برابر بطری‌هایی که توسط بیش از سی نفر به سوی او پرتاب شده دفاع کرده است. «بلیک» همچنین بخاطر تلاش برای منحرف کردن مسیر دادرسی محکوم گردید. قاضی به «بلیک» گفت که «تقریباً اجتناب‌ناپذیر» است و او قرار است به زندان فرستاده شود.,بر اساس متن، کدام یک از موارد زیر برای بلیک اتفاق نیفتاد؟,او به دلیل نقض عدالت مجرم شناخته شد,وی دستگیر شد,با یک میله به او حمله شد,به او گفته شد که احتمالاً به زندان می‌رود,3,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Bali_climate_change_conference_begins,1,سایر مباحث موجود در بالی شامل نجات جنگل‌های باقیمانده جهان، و به اشتراک گذاری فناوری‌هایی برای کمک به کشور‌های در حال توسعه به شیوه هایی است که آلایندگی کمتری ایجاد کنند. سازمان ملل همچنین امیدوار است برای کمک به کشورهایی که تحت تاثیر گرمایش کره زمین قرار گرفته اند، بودجه‌ای را نهایی کند تا بتواند با این اثرات مقابله کند. این پول می‌تواند به سمت خانه‌های ضد سیل، مدیریت بهتر آب و تنوع زراعی برود.,بودجه گرمایش جهانی سازمان ملل برای چه چیزی به کار نمی‌رود؟,تنوع زراعی,آوردن فناوری به کشورهای در حال توسعه,خانه‌های مقاوم در برابر سیل,کاهش اثرات گرمایش زمین,2,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Bali_climate_change_conference_begins,2,سایر مباحث موجود در بالی شامل نجات جنگل‌های باقیمانده جهان، و به اشتراک گذاری فناوری‌هایی برای کمک به کشور‌های در حال توسعه به شیوه هایی است که آلایندگی کمتری ایجاد کنند. سازمان ملل همچنین امیدوار است برای کمک به کشورهایی که تحت تاثیر گرمایش کره زمین قرار گرفته اند، بودجه‌ای را نهایی کند تا بتواند با این اثرات مقابله کند. این پول می‌تواند به سمت خانه‌های ضد سیل، مدیریت بهتر آب و تنوع زراعی برود.,با توجه به متن، سازمان ملل متحد امید دارد که چه چیزی را نجات دهد؟,پول، از طریق اشتراک فناوری,محصولات,بقایای جنگل‌های بارانی,مردمی که تحت تاثیر مدیریت ضعیف آب قرار گرفته‌اند,3,pes_Arab,2023-06-07
"https://en.wikinews.org/wiki/Benin,_Nigeria_join_African_Union_continental_free_trade_bloc",1,نیجریه پیش‌تر اعلام کرد قصد داشت در هفته منتهی به اجلاس، به منطقه آزاد تجاری قاره آفریقا (AfCFTA) ملحق شود. «آلبرت موچانگا»، کمیسیونر صنعت و تجارت اتحادیه آفریقا، اعلام کرد بنین قرار است ملحق شود. کمیسر گفت، «ما هنوز در مورد قوانین مبداء و امتیازات تعرفه‌ای توافق نکرده‌ایم، اما چارچوبی که در اختیار داریم برای شروع تجارت از 1 ژوئیه 2020 کافی است.»,کدام مورد توسط «آلبرت موچانگا» به عنوان موضوعی که هنوز نیاز به توافق داشت، ذکر نشده است؟,اینکه آیا بنین به AfCTA ملحق خواهد شد,تاریخی که تجارت می‌تواند شروع شود,قوانین مبداء,امتیازات تعرفه‌ای ,1,pes_Arab,2023-06-07
"https://en.wikinews.org/wiki/Benin,_Nigeria_join_African_Union_continental_free_trade_bloc",2,نیجریه پیش‌تر اعلام کرد قصد داشت در هفته منتهی به اجلاس، به منطقه آزاد تجاری قاره آفریقا (AfCFTA) ملحق شود. «آلبرت موچانگا»، کمیسیونر صنعت و تجارت اتحادیه آفریقا، اعلام کرد بنین قرار است ملحق شود. کمیسر گفت، «ما هنوز در مورد قوانین مبداء و امتیازات تعرفه‌ای توافق نکرده‌ایم، اما چارچوبی که در اختیار داریم برای شروع تجارت از 1 ژوئیه 2020 کافی است.»,با توجه به متن،‌ چرا شروع تجارت از ماه ژوئیه امکانپذیر است؟,تاریخ شروع در ژوئیه بخشی از شرایط نیجریه برای پیوستن به AfCFTA بود,چارچوب کافی برای قوانین و امتیازات وجود دارد,توسط کمیسر تجارت و صنعت AU تأیید شد ,بر سر قوانین مبداء و امتیازات تعرفه‌ای توافق شده است,2,pes_Arab,2023-06-07
