,Text,mapped_label
0,بسته بندی تمیز کیفیت محصولات هم بسیار خوب. لطفا در صورت امکان منو میوه تنوع بیشتری داشته باشد امروز چون موز تو منو نبود از سوپر میوه‌های دیگه اسنپ فود خرید کردم اصلا کیفیت مناسبی نداشت و واقعا تعهد و کیفیت سبزی من بسیار عالی و غیر قابل مقایسه است,positive
1,سلام. خسته نباشید. واقعا خوشمزه و عالی بود. پیتزا مخلوط و هات داگ بسیار خوشمزه بود. ممنون از شیلا,positive
2,سیب زمینی با پنیر سفارش داده بودم و سیب زمینی ساده ب من تحویل دادند! حداقل کار ممکن اینه که تفاوت قیمتش رو ب حسابم برگردونید,negative
3,سلام واقعنی پیتزا سیب مثل قبل اصلن خوب نبود.. کیفیتش از دست داده حجم سیب زمینی ویژه با معمولی هیچ فرقی نداره.. فقط پنیر داره.. و درکل کلی پول پیک و مالیات زیاد میگیره,negative
4,خیلی سریع و داغ و لذیذ رسید,positive
5,خرمالوها له و داغون به دستم رسید,negative
6,بی نظیر عالی بود,positive
7,عالی بود ممنونم فقط کاش سبزیجاتم موجود داشتید,positive
8,دونات‌ها یخ کرده بود، من همیشه داغ داغ تحویل میگرفتم.۴۰ دقیقه تاخیر داشتند.,positive
9,غذا سرد بود کیفیت نداشت بنده ساعت ۱۱:۵۵ سفارش دادم ساعت ۱۱:۵۶ غذا تحویل پیک شد درنتیجه کاملا مشخصه غذا تازه نبوده است!!!!!! سس هم نداشت.,negative
10,طعم پیتزا زیاد خوب نبود واصلا سیرنشدم ولی خب سالاد اوکی بود و راضی کننده بود,negative
11,چیکن فیله خوشمزه بود ولی نسبت به قبل حجمش کمتر شده بود، ساندویچ مرغ مدیترانه‌ای هم خوب بود ولی خیلی کوچیک بود بهتر بود اندازه ساندویچ مینوشتن که مینی بوده!,positive
12,خیلی خیلی پر گوشت و عالی بود.,positive
13,خیلی تازه و خوشمزس,positive
14,برای چندمین بار تکرار شد. آقا کیفیت نون بسیار خوب.. ولی چرا نون بیات روز قبل رو وسط نون‌های تازه میذارین؟ ۴ تا تازه بود یکیش بیات. نمیدونم شاید کارگرتون این کارو میکنه. تذکر بدین. کیفیت نون تازتون عالیه ولی با این کار دفعه دیگه سفارش نمیدم,negative
15,سلام و خسته نباشین خدمت شما ….. ببینید کیفیت غذاتون عالیه طعم‌ها بیست و بسته بندی عالی ولی متاسفانه توی دیزی اصلا گوشت پیدا نمیکنی همش نخوده و یک تیکه استخوان که به اندازه یک بند انگشت گوشت داره آخه حیفه برای رستوران شما,negative
16,پیتزاش عملا هیچ چیزی نداشت: / یه نون بود با ۱۵ تا تیکه مرغ مکعبی: / البته دلار رفته بالا ولی …,negative
17,واقعا هفت هشت تا دونه قارچ شانزده هزار تومن؟ من باید شکایتمو به کی بگم؟,negative
18,نوشیدنی که سفارش داده بودم متاسفانه نبود تو بسته بندی و غذا بسیار سرد بود,negative
19,ساندویچها بدون سس سفارش داده شده بود که با سس فراوان دست ما رسید. کوکای زیرو نوشته بودم که بدون هماهنگی ساده فرستادند,negative
20,چند روزه گرفتمش دارم استفاده میکنم  خیلی عالیه وکیفیت صدا حرف نداره  صدار که بلند می کنی از کیفیت صدا کم نمیشه در کل خرید این سیستم صوتی را پیشنهاد مکنم ,positive
21,بعد از کلی تحقیق خرید مش عالی اگر قیمتش مهم نیست پیشنهاد میکنم بخرید ,positive
22,حدود یک ماهه این تلویزیون رو خریدم و از 10 نمره بهش 9 رو میدم تلویزیون با کیفیت و مدرنیه و ظاهرش هم زیباست  تو این رنج قیمتی شاید بهترین انتخاب باشه برای فضای بزرگ مناسب نیست و بهتره سراغ سایز های بزرگ تر برید   چند تا نکته حرفه ای  که ممکنه به دردتون بخوره   سیستم عامل تایزن سیستم عامل با کاربری راحته و زیاد حرفه ای و پر امکانات نیست ولی خیلی بهتر از رابط کاربری تلویزیون های غیر هوشمنده فقط یک ورودی کامپوزیت  ای وی  وجود داره که اونم در صورت استفاده از کامپوننت مختل میشه و اگر تعداد دستگاه های ورودی قدیمیتون کمه مشکلی نیست چون دو تا ورودی اچ دی ام آی وجود داره کنترل تلویزیون ساده هست و کنترل اصلی سری 6 رو باید از بازار تهیه کرد   این کنترل برای عملیات های اصلی مناسبه ولی کار براش ممکنه برای افراد قدیمی تر سخت باشه خصوصا زمان استفاده از امکانات مختلف تلویزیون کنترل های قبلی سامسونگ همگی با این دستگاه سازگارن   باتری های کنترل قلمی هستن کیفیت تصویر قابل قبوله و تنظیمات زیادی داره و مود های مختلفی هم داره که شما رو از سردرگمی برای یه آپشن خوب نجات میده یک پورت یو اس بی 1 آمپر برای هارد اکسترنال داره و یک پورت نیم آمپر برای فلش مموری هر چند میشه از هر دو برای هر دو مورد استفاده کرد اگر میخواید از قابلیت وب و برنامه های تلویزیون راحت تر استفاده کنین میتونین کیبورد و موس بلوتوث تهیه کنین  ,neutral
23,طراحی این محصول بسیار عالیست و مدل کیبورد شباهت زیادی به مک بوک دارد هارد ssd سرعت بوت را بسیار بالا و 5 ثانیه کرده  تاچ پد بسیار با کیفیت است و کار کردن با آن لذت بخش است  کیفیت صفحه نمایش قابل قبول است پورت ها هم مکفی است  وزن بسیار عالی و سبک است فن بسیار کم صدا است و جای آن درست بین لولای صفحه است فقط در هنگامی که برنامه سنگین اجرا کنید صداش بالا میره  درکل تنها اشکال من کم بودن زاویه کم باز شدن صفحه است باتری هم حداقل 3 و حداکثر 7 ساعت نگه میداره  من باهاش پریمیر رندر میگیرم مشکلی ندارم و عالی است ,negative
24,اولین بار نیست که از دیجی لوازم آرایش سفارش میدم  واقعا که تا حالا هر چی سفارش دادم عالی بوده و اصل  این پن کیک هم رنگشو شانسی انتخاب کردم و میتونم بگم واقعا شبیه به رنگ طبیعی پوست هست  تقریبا پوست نه خیلی سفید نه سبزه  ماندگاری خوبی هم داره ,negative
25,دستگاه روز جمعه به دستم رسید ویندوز 10 نصب کردم حالت فلشی که برای نصب ویندوز آماده میکنید حتما بصورت ufei باشه و ویندوز رو روی SSD بریزید که سرعت بالا اومدن ویندوز حدود 5 ثانیه میشه کلا خیلی خوب و قدرتمند هست از خریدم راضیم و چندتا محاسبه زدم خیلی خوب جواب داد  اگه مشکل مالی برای این مبلغ ندارید حتما پیشنهاد میکنم بخرید چون حداقل تا 4 سال جواب کار رو میده ,positive
26,قیمتش می تونست خیلی پایین تر باشه ,positive
27,دورببن خیلی خوبیه کیفیت نسبتا خوبی داره ولی تو عکسا وقتی زوم میکنی عکس بهتر میوفته در کل چیز خوبیه عکسای خیلی خوبی میشه گرفت  ,positive
28,کیفیت ساخت و زیبایی عالی ,positive
29,این محصول بسیار عالی و با کیفیت هست  ,positive
