index,question,options,gold,masked_explanation,pred_noexp,prob_noexp,pred_exp,prob_exp,is_correct_noexp,is_correct_exp,sufficiency,usefulness,probs_noexp,probs_exp
0,جرج می‌خواهد دست‌هایش را با مالیدن به سرعت گرم کند. کدام سطح پوست بیشترین گرما را تولید می‌کند؟,"['کف\u200cهای خشک', 'کف\u200cهای مرطوب', 'کف\u200cهای چرب شده با روغن', 'کف\u200cهای پوشیده شده با لوسیون']",A,وجود رطوبت گرما را افزایش می‌دهد.,C,0.8796225190162659,B,0.0363338403403759,False,False,False,False,[0.081658   0.03404012 0.8796225  0.00467938],[0.03633384 0.6490839  0.30901027 0.00557197]
1,کدام یک از جملات زیر بهترین توضیح را برای این موضوع ارائه می‌دهد که چرا مغناطیس‌ها معمولاً به درب یخچال می‌چسبند؟,"['در یخچال سطحی صاف وجود دارد.', 'درب یخچال حاوی آهن است.', 'درب یخچال یک هادی خوب است.', 'درب یخچال دارای سیم\u200cهای برق است.']",B,حاوی آهن بودن,B,0.9000676274299622,C,0.40128129720687866,True,False,False,False,[0.05058037 0.9000676  0.03939204 0.00995987],[0.06973223 0.4012813  0.5152554  0.01373109]
2,سوالی: چین‌خوردگی مشاهده‌شده در لایه‌های سنگ‌های رسوبی بیشتر احتمالاً ناشی از,"['سرد شدن ماگما در حال جریان.', 'مقارن شدن صفحات قشری.', 'رسوب\u200cگذاری مواد رسوبی در کنار رودخانه.', 'حل شدن معدنی کربنات.']",B,حرکت صفحات قشری زمین,B,0.5060479044914246,B,0.9566822648048401,True,True,True,True,[0.4465857  0.5060479  0.0369455  0.01042096],[4.2363361e-02 9.5668226e-01 8.1314880e-04 1.4130407e-04]
3,کدام یک از این موارد را دانشمندان به عنوان جدیدترین توضیح درباره اینکه چرا بسیاری از گیاهان و جانوران در پایان دوره مزوزوئیک منقرض شدند، ارائه می‌دهند؟,"['بیماری جهانی', 'تشکیل کوه\u200cهای جهانی', 'ظهور پستانداران که به گیاهان و جانوران حمله می\u200cکردند', 'ضربه یک سیارک که گرد و غبار ایجاد کرد و نور خورشید را مسدود کرد']",D,ضربه سیارک موجب مسدود شدن نور خورشید شد.,A,0.6778459548950195,D,0.9639877676963806,False,True,True,True,[0.67784595 0.1168753  0.15007086 0.05520798],[3.2857247e-02 2.4176533e-03 7.3734258e-04 9.6398777e-01]
4,یک قایق تحت تأثیر جریان یک رودخانه که به سمت شمال می‌رود و بادی که بر روی بادبان‌های آن می‌وزد، قرار دارد. قایق به سمت شمال‌شرقی حرکت می‌کند. در کدام جهت باد به احتمال زیاد بر روی بادبان‌های قایق نیرو وارد می‌کند؟,"['غرب', 'شرق', 'شمال', 'جنوب']",B,باد از [MASK] می‌وزد.,B,0.5282155871391296,B,0.5628656148910522,True,True,True,True,[0.24853863 0.5282156  0.02968371 0.19356208],[0.34139526 0.5628656  0.01956351 0.07617558]
5,کدام شکل زمین نتیجه نیروی سازنده یک یخچال طبیعی است؟,"['دره\u200cهای حفر شده توسط یک یخچال طبیعی متحرک', 'توده\u200cهای سنگی جمع\u200cشده توسط یک یخچال طبیعی آب شده', 'خطوط ایجاد شده در سطح گرانیت توسط یک یخچال طبیعی', 'تپه\u200cهای سنگ بستر خراشیده شده توسط عبور یک یخچال طبیعی']",B,دره‌های حفر شده توسط یخچال,A,0.5269642472267151,A,0.026582244783639908,False,False,False,False,[0.52696425 0.15097779 0.15097779 0.17108025],[0.88028306 0.02658224 0.08187908 0.01125563]
6,کدام جمله بهترین مقایسه را بین موجودات تک‌سلولی و چندسلولی ارائه می‌دهد؟,"['بافت\u200cها در یک موجود تک\u200cسلولی مانند سلول\u200cها در یک موجود چندسلولی هستند.', 'هسته در یک موجود تک\u200cسلولی مانند پوست یک موجود چندسلولی است.', 'اندامک\u200cها در یک موجود تک\u200cسلولی مانند اعضا در یک موجود چندسلولی هستند.', 'سیتوپلاسم در یک موجود تک\u200cسلولی مانند سیستم عصبی در یک موجود چندسلولی است.']",C,اندامک‌ها در تک‌سلولی‌ها مانند اعضا در چندسلولی‌ها هستند.,A,0.786097526550293,C,0.8130980134010315,False,True,True,True,[0.7860975  0.023831   0.15539762 0.0346739 ],[0.18178138 0.00374339 0.813098   0.00137712]
7,در چارچوب یک آزمایش، یک فضانورد یک ترازو به ماه می‌برد و خود را وزن می‌کند. ترازو ۳۱ پوند را نشان می‌دهد. اگر جرم فضانورد حدود ۸۴ کیلوگرم باشد، وزن و جرم تقریبی فضانورد هنگام ایستادن بر روی زمین کدامند؟,"['۳۱ پوند و ۱۴ کیلوگرم', '۳۱ پوند و ۸۴ کیلوگرم', '۱۸۶ پوند و ۱۴ کیلوگرم', '۱۸۶ پوند و ۸۴ کیلوگرم']",D,جرم فضانورد ثابت است؛ وزن او در زمین ۶ برابر ماه است.,D,0.5123115181922913,A,0.35098719596862793,True,False,False,False,[0.1663232  0.01063269 0.31073263 0.5123115 ],[0.51068336 0.00920848 0.12912098 0.3509872 ]
8,کدام یک از موارد زیر ویژگی‌ای است که سگ از والدین خود به ارث نمی‌برد؟,"['طول موهایش', 'شکل بینی\u200cاش', 'اندازه اشتهایش', 'رنگ موهایش']",C,اشتها اکتسابی است,B,0.40217435359954834,C,0.8369093537330627,False,True,True,True,[0.3132137  0.40217435 0.06934355 0.21526843],[0.12935083 0.02547069 0.83690935 0.00826912]
9,پیمایشی که لاک‌پشت‌های دریایی در ابتدای زندگی خود معمولاً تیره رنگ هستند. گاهی اوقات، لاک‌پشتی بیرون می‌آید که تقریباً سفید رنگ است. هنگامی که این لاک‌پشت رنگ روشن از لانه به سمت اقیانوس خزیده می‌شود، ممکن است در معرض آفتاب سوختگی قرار گیرد. رنگ روشن این لاک‌پشت‌ها چه تأثیری خواهد داشت؟,"['الف) به لاک\u200cپشت\u200cها کمک می\u200cکند که شانس بیشتری برای زادآوری داشته باشند.', 'ب) باعث قوی\u200cتر شدن پوسته لاک\u200cپشت\u200cهای دریایی می\u200cشود.', 'ج) احتمال زنده ماندن لاک\u200cپشت\u200cها برای زادآوری را کاهش می\u200cدهد.', 'د) در توسعه یک گونه جدید از لاک\u200cپشت\u200cهای دریایی کمک می\u200cکند.']",C,کاهش احتمال زنده ماندن,C,0.5924316048622131,C,0.8761534690856934,True,True,True,True,[0.27984488 0.09014531 0.5924316  0.03757815],[0.11857448 0.00358064 0.87615347 0.00169137]
